Plant name;Common name (English);Origin;Classification;Diameter;Height;Colors (leaf);Colors (flower);Colors (bract);Colors (fruit);Planting period;Growth period;Blooming period;Fruiting period;Tags;Sunlight;Watering;Fertilizing;Pruning;Soil;Soil moisture MIN (%);Soil moisture MAX (%);Soil conductivity MIN (μs/cm);Soil conductivity MAX (μs/cm);Soil PH MIN;Soil PH MAX;Temperature MIN (℃);Temperature MAX (℃);Humidity MIN (%RH);Humidity MAX (%RH);Light MIN (lux);Light MAX (lux);Light MIN (mmol);Light MAX (mmol);
Larix laricina;;China;Pinaceae,Larix;≥15;≥25;56;;;56,119,146;;;;5-6;9;;4;2,6;6,0;2;8;15;60;350;2000;0;0;5;35;30;80;2500;55000;3000;6300
Larrea tridentata;;United States;Zygophyllaceae,Larrea;≥10;15-18;;146;;;;;;2-3,7-9;;;2-3;2,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;3700;20000;2000;4000
Lathyrus vernus;;Mediterranean coastal areas;Leguminosae,Lathyrus;≥10;;;119,120,45,59;;12;;;;5-7;7-9;33;4;,6;0,0;1;8;20;65;150;2500;6.5;6.5;5;32;30;80;3300;95000;3800;14000
Laurentia axillaris;;Oceania;Campanulaceae,Isotoma;≥10;15-18;;144,59,45;;;;;;5-9;5-9;;2-4;2,6;5,2;1;8;15;60;350;2000;0;0;5;32;30;80;3700;30000;2500;4500
Laurus nobilis;;Mediterranean region;Lauraceae,Laurus;≥20;20-30;;82;;46;;;;3-5;6-9;;2-4;4;0,64;512;6;15;60;350;2000;0;0;5;35;30;80;2000;38000;2800;5800
Lavandula angustifolia 'Blue River';;France;Labiatae,Lavandula;≥10;≥10;;45,119,59;;;;;;6-8;;;4;2,6;7,0;1;19;15;60;350;2000;0;0;5;35;30;80;3000;70000;3600;6600
Lavandula dentata;;France;Labiatae,Lavandula;≥10;≥10;;45,119,59;;;;;;6-8;;;4;2,6;7,0;1;19;15;60;350;2000;0;0;5;35;30;80;3000;70000;3600;6600
Lavandula multifida 'Spanish Lace';;France;Labiatae,Lavandula;≥10;≥10;;45,119,59;;;;;;6-8;;;4;2,6;7,0;1;19;15;60;350;2000;0;0;5;35;30;80;3000;70000;3600;6600
Lavandula spica;;France;Labiatae,Lavandula;≥10;≥10;;45,119,59;;;;;;6-8;;;4;2,6;7,0;1;19;15;60;150;2000;0;0;5;35;30;80;3000;70000;3500;7700
Lavandula spp.;;France;Labiatae,Lavandula;≥10;≥10;;45,119,59;;;;;;6-8;;;4;2,6;7,0;1;19;15;60;350;2000;0;0;5;35;30;80;3000;70000;3600;6600
Lavandula stoechas 'Alba';;France;Labiatae,Lavandula;≥10;≥10;;45,119,59;;;;;;6-8;;;4;2,6;7,0;1;19;15;60;350;2000;0;0;5;35;30;80;3000;70000;3600;6600
Lavatera maritima;;Asia,Europe,North America;Malvaceae,Malva;≥10;≥15;;96,144;;;;spring,autumn;;6-10;;;3-4;2,6;6,0;1;19;15;60;350;2000;0;0;10;35;30;80;2500;60000;4000;6000
Lavatera thuringiaca;;Mediterranean region;Malvaceae,Lavatera;≥20;20-30;;120,59,144;;;;;;4-8;;;3;2,6;0,4;1;19;15;60;350;2000;0;0;5;35;30;80;3700;30000;2500;4500
Lavatera trimestris;;Europe;Malvaceae,Lavatera;≥20;20-30;;59,96;;;;;;4-8;;;2-4;3;0,64;1;0;15;60;350;2000;0;0;8;35;30;80;3700;30000;2500;4500
Lemna minor;;Worldwide;Araceae,Lemna;≥2;;56;;;;;;;;;32;3;;7,0;1;0;40;100;350;1500;0;0;8;35;30;80;3000;60000;3000;5400
Leontopodium alpinum;;China,Japan;Compositae,Leontopodium;≥10;15-18;;144;;;;;;6-9;9-10;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;3500;30000;2500;4500
Leontopodium japonicum;;China,Japan;Compositae,Leontopodium;≥10;15-18;;144;;;;;;6-9;9-10;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;3500;30000;2500;4500
Lepidium peruvianum;;South America;Cruciferae,Lepidium;≥10;15-18;;144;;;;;;4-5;;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;3700;60000;4000;6000
Leptodermis oblonga;;China;Rubiaceae,Leptodermis;≥10;15-18;;108;;;;;;6-8;10;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;3700;30000;2500;4500
Leptospermum scoparium 'Crimson Glory';;New Zealand,Australia;Myrtaceae,Leptospermum;;~ 200;;120,59,114,144;;;;;;12-6;;;3;;8,0;4;19;18;60;300;1800;6.1;7;3;32;30;80;3000;50000;3200;7500
Leucanthemum maximum;;China;Compositae,Leucanthemum;≥10;15-18;;144;;;;;;5-7;;;2-3;4;6,0;1;19;20;60;350;2000;0;0;8;32;15;80;3000;55000;3200;6400
Leucanthemum paludosum;creeping daisy;China;Compositae,Chrysanthemum;≥10;15-18;;144,146;;;;;;9-11;;;2-3;4;6,0;1;19;20;60;350;2000;0;0;8;32;15;80;3000;55000;3200;6400
Leucojum aestivum;;Southern Europe;Amaryllidaceae,Leucojum;≥20;20-30;;144;;;;;;spring;;;2-4;4;0,64;1;19;15;60;350;2000;0;0;5;35;30;80;3700;50000;3500;5000
Leucojum vernum;;Southern Europe;Amaryllidaceae,Leucojum;≥20;20-30;;144;;;;;;spring;;;2-4;4;0,64;1;19;15;60;350;2000;0;0;5;35;30;80;3700;50000;3500;5000
Leucophyllum frutescens;;Central America;Scrophulariaceae,Leucophyllum;≥15;≥25;;96;;;;;;summer,autumn;;;2-4;2,6;6,0;1;19;15;60;350;2000;0;0;5;32;30;80;4000;50000;3500;5000
Leucothoe axillaris;;Americas;Ericaceae,Leucothoe;≥10;15-18;;144;;;;;;1-12;;;3-4;2,6;5,2;1;0;15;60;350;2000;5.5;6.5;5;35;30;80;3500;30000;2500;4500
Leucothoe davisiae;;Americas;Ericaceae,Leucothoe;≥10;15-18;;144;;;;;;1-12;;;3-4;2,6;5,2;1;0;15;60;350;2000;5.5;6.5;5;35;30;80;3500;30000;2500;4500
Leucothoe fontanesiana;;Americas;Ericaceae,Leucothoe;≥10;15-18;;144;;;;;;1-12;;;3-4;2,6;5,2;1;0;15;60;350;2000;5.5;6.5;5;35;30;80;3500;30000;2500;4500
Levisticum officinale;;Western Asia;Umbelliferae,Levisticum;≥10;≥15;;147;;;;;;6-8;8-9;;1-2;2,6;6,0;1;19;15;60;350;2000;0;0;8;32;30;80;1500;6000;1200;2500
Lewisia columbiana;;United States Pacific coast;Portulacaceae,Lewisia;≥20;15-20;;59,106,146;;;;;;4-6;;;4;4;0,64;1;8;15;60;350;2000;0;0;8;35;30;80;3700;30000;2500;4500
Lewisia longipetala;;United States Pacific coast;Portulacaceae,Lewisia;≥20;15-20;;59,106,146;;;;;;4-6;;;4;4;0,64;1;8;15;60;350;2000;0;0;8;35;30;80;3700;30000;2500;4500
Leycesteria formosa;;Asia;Caprifoliaceae,Leycesteria;≥20;20-30;;144,49;;;;;;5-10;5-10;;2-3;4;0,64;1;6;15;60;350;2000;0;0;10;32;30;80;3700;20000;2000;4000
Leymus spp.;;China;Gramineae,Leymus;≥10;15-18;56;;;;;;;6-7;;;1-2;2,6;6,0;1;8;15;60;350;2000;0;0;10;32;30;80;1500;6000;1200;2500
Liatris spicata;;China;Compositae,Liatris;≥10;15-18;;120,146,144,59;;;;;;9-11;;;2-3;4;6,0;1;19;20;60;350;2000;0;0;8;32;15;80;3000;55000;3200;6400
Licuala grandis;;New Britain island;Arecaceae,Licuala;≥10;≥10;56;;;;;spring,autumn;;;;46;1-2;,5,6;6,0;1;19;20;70;50;2000;0;0;8;35;35;85;1000;45000;1800;5000
Licuala mattanensis 'mapu';;New Britain island;Arecaceae,Licuala;≥10;≥10;147;;;;;spring,autumn;;;;46;1-2;,5,6;6,0;1;19;20;70;50;2000;0;0;8;35;35;85;1000;45000;2000;5500
Ligularia dentata;;China,Europe;Compositae,Ligularia;≥20;20-30;;146,106;;;;;;7-10;7-10;;2-4;2,6;0,64;1;8;15;60;350;2000;0;0;8;35;30;80;3700;30000;2500;4500
Ligularia przewalskii;;China,Europe;Compositae,Ligularia;≥20;20-30;;146;;;;;;7-10;7-10;;2-4;2,6;0,64;1;8;15;60;350;2000;0;0;8;35;30;80;3700;30000;2500;4500
Ligularia sibirica;;China,Europe;Compositae,Ligularia;≥20;20-30;;146;;;;;;7-10;7-10;;2-4;2,6;0,64;1;8;15;60;350;2000;0;0;8;35;30;80;3700;30000;2500;4500
Ligularia stenocephala;;China,Europe;Compositae,Ligularia;≥20;20-30;;146;;;;;;7-10;7-10;;2-4;2,6;0,64;1;8;15;60;350;2000;0;0;8;35;30;80;3700;30000;2500;4500
Ligustrum japonicum;;Asia;Oleaceae,Ligustrum;≥10;≥10;56;144;;;;spring,autumn;;;;46;2-4;,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;85;3600;50000;3500;5000
Ligustrum lucidum;;Asia;Oleaceae,Ligustrum;≥10;≥10;56;144;;;;spring,autumn;;;;46;2-4;,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;85;3600;50000;3500;5000
Ligustrum sinense 'Variegatum';;Asia;Oleaceae,Ligustrum;≥20;20-30;;144;;;;;;3-6;9-12;;2-3;2,6;0,64;1;19;15;60;350;2000;0;0;10;32;30;80;3700;20000;2000;4000
Ligustrum sinense;;Asia;Oleaceae,Ligustrum;≥20;20-30;;144,82;;87;;;;3-6;9-12;;2-3;2,6;0,64;1;19;15;60;350;2000;0;0;10;32;30;80;3700;20000;2000;4000
Ligustrum spp.;;Asia;Oleaceae,Ligustrum;≥10;≥10;56;144;;;;spring,autumn;;;;46;2-4;,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;85;3600;50000;3500;5000
Ligustrum × vicaryi;;Asia;Oleaceae,Ligustrum;≥10;≥10;56,52;144;;;;spring,autumn;;;;46;2-4;,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;85;3600;50000;3500;5000
Lilium bulbiferum;;Holland;Liliaceae,Lilium;≥10;18-22;;106;;;;;;4-10;;;3;2,6;6,0;1048576;19;15;60;350;2000;0;0;8;32;30;80;2000;40000;2500;5400
Lilium candidum;;Holland;Liliaceae,Lilium;≥10;18-22;;144;;;;;;4-10;;;3;2,6;6,0;1048576;19;15;60;350;2000;0;0;8;32;30;80;2000;40000;2500;4500
Lilium columbianum;;Holland;Liliaceae,Lilium;≥10;18-22;;146;;;;;;4-10;;;3;2,6;6,0;1048576;19;15;60;350;2000;0;0;8;32;30;80;2000;40000;2500;4500
Lilium humboldtii;;Holland;Liliaceae,Lilium;≥10;18-22;;144;;;;;;4-10;;;3;2,6;6,0;1048576;19;15;60;350;2000;0;0;8;32;30;80;2000;40000;2500;4500
Lilium lancifolium;;China,Japan,Korea;Liliaceae,Lilium;4-8;~ 3.5;;106;;29;;;;7-8;9-10;;2-3;4;5,0;1;19;15;60;350;2000;0;0;8;35;30;85;3700;30000;2500;4500
Lilium Longiflorum 'berg';;Holland;Liliaceae,Lilium;≥10;18-22;;144;;;;;;4-10;;;3;2,6;6,0;1048576;19;15;60;350;2000;0;0;8;32;30;80;2500;50000;2500;5400
Lilium longiflorum;;Holland;Liliaceae,Lilium;≥10;18-22;;144;;;;;;4-10;;;3;2,6;6,0;1048576;19;15;60;350;2000;0;0;8;32;30;80;2000;45000;2500;5400
Lilium martagon;;Holland;Liliaceae,Lilium;≥10;18-22;;119;;;;;;4-10;;;3;2,6;6,0;1048576;19;15;60;350;2000;0;0;8;32;30;80;2000;45000;2500;5400
Lilium regale 'Regale';;Holland;Liliaceae,Lilium;≥10;18-22;;144,146;;;;;;4-10;;;3;2,6;6,0;1048576;19;15;60;350;2000;0;0;8;32;30;80;2000;40000;2500;5400
Lilium regale;;Holland;Liliaceae,Lilium;≥10;18-22;;144,146;;;;;;4-10;;;3;2,6;6,0;1048576;19;15;60;350;2000;0;0;8;32;30;80;2000;40000;2500;4500
Lilium spp. 'Asiatic Hybrids';;Holland;Liliaceae,Lilium;≥10;18-22;;144,146;;;;;;4-10;;;3;2,6;6,0;1048576;19;15;60;350;2000;0;0;8;32;30;80;2800;40000;2500;5400
Lilium spp.;;Holland;Liliaceae,Lilium;≥10;18-22;;144,59,96,82,106;;;;;;4-10;;;3;2,6;6,0;1048576;19;15;60;350;2000;0;0;8;32;30;80;2500;50000;2500;5400
Lilium;Lily;Holland;Liliaceae,Lilium;≥10;18-22;;59;;;;;;4-10;;;3;2,6;6,0;1048576;19;15;60;350;2000;0;0;8;32;30;80;2500;50000;2500;5400
Linaria vulgaris;;Eurasia;Scrophulariaceae,Linaria;≥2;≥30;;119,59,146;;;;;;4-9;;;2-4;2,6;6,0;1;19;15;60;350;2000;0;0;5;32;30;80;3700;30000;2500;4500
Lindera obtusiloba;;China,Japan,Korean Peninsula;Lauraceae,Lindera;≥20;15-20;;146;;120,29,87;;;;3-4;8-9;;2-3;4;0,64;1;19;15;60;350;2000;0;0;8;35;30;85;3700;30000;2500;4500
Lindera spp.;;Asia;Lauraceae,Lindera;≥15;≥20;;146;;8;;;;3-4;7-8;;2-3;2,6;6,0;1;8;15;60;350;2000;5.5;6.5;8;35;30;80;4000;50000;3500;5000
Linum flavum;;Mediterranean region;Linaceae,Linum;≥20;≥25;;45,144,146;;;;;;6-8;7-10;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;3500;30000;2500;4500
Linum narbonense;;Mediterranean region;Linaceae,Linum;≥20;≥25;;45,61;;;;;;6-8;7-10;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;3500;30000;2500;4500
Linum usitatissimum;;Mediterranean region;Linaceae,Linum;≥20;≥25;;45,144;;;;;;6-8;7-10;;3-4;2,6;6,0;1;8;15;60;150;2000;0;0;5;35;30;80;3500;85000;3800;7500
Liquidambar formosana;;China;Altingiaceae,Liquidambar;≥20;15-20;56,146;;;;;;;4;;;4;4;0,0;1;6;15;60;350;2000;0;0;5;32;30;80;2800;65000;3200;6500
Liquidambar orientalis;;Asia,Americas;Altingiaceae,Liquidambar;≥20;15-20;;147;;;;;;3;;;4;4;0,64;1;19;15;60;350;2000;0;0;5;32;30;80;3700;30000;2500;4500
Liquidambar styraciflua;;China;Altingiaceae,Liquidambar;≥20;15-20;56,146;;;;;;;4;;;4;4;0,0;1;6;15;60;350;2000;0;0;5;32;30;80;2800;65000;3200;6500
Liriodendron chinense;;China;Magnoliceae,Liriodendron;≥20;≥35;;147;;;;spring,autumn;;5;9-10;69;3;2,6;7,0;129;0;15;60;350;2000;0;0;5;32;30;80;2500;65000;3000;7500
Liriope muscari;;Japan,Vietnam,China,Taiwan;Liliaceae,Liriope;≥10;15-20;;119,96;;97;;;;5-7;8-10;;3;4;1,0;1;19;15;60;350;2000;0;0;10;32;30;85;1500;6000;1200;2500
Liriope spicata;;Japan,Vietnam,China,Taiwan;Liliaceae,Liriope;≥10;15-20;;90,42;;97;;;;5-7;8-10;;3;4;1,0;1;19;15;60;350;2000;0;0;10;32;30;85;1500;6000;1200;2500
Litchi chinensis;;China;Sapindaceae,Litchi;≥30;50-80;;144;;33,140;;;;3-4;5-6;;4;2,6;6,0;1;8;15;60;350;2000;0;0;8;35;30;80;3900;60000;4000;6000
Lithops pseudotruncatella;;South Africa;Aizoaceae,Lithops;≥3;≥3;145,30;144,59;;;;autumn;;;;34;2-3;;6,0;1;18;7;50;300;1000;0;0;8;35;15;80;3500;90000;3500;8700
Livistona australis;;China;Palmae,Trachycarpus;≥10;≥10;56;146;;;;spring,autumn;;3-4;;46;2-3;3,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;85;2000;45000;3000;5000
Livistona chinensis;;China;Palmae,Trachycarpus;≥10;≥10;56;146;;;;spring,autumn;;3-4;;46;2-3;3,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;85;2000;45000;3000;5000
Livistona decipiens;;China;Palmae,Trachycarpus;≥10;≥10;56;146;;;;spring,autumn;;3-4;;46;2-3;3,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;85;2000;45000;3000;5000
Livistona nitida;;China;Palmae,Trachycarpus;≥10;≥10;56;146;;;;spring,autumn;;3-4;;46;2-3;3,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;85;2000;45000;3000;5000
Livistona rotundifolia;;China;Palmae,Trachycarpus;≥10;≥10;56;146;;;;spring,autumn;;3-4;;46;2-3;3,6;6,0;1;19;15;60;350;2000;0;0;5;35;30;85;2000;45000;3000;5000
Lobelia cardinalis;;China;Campanulaceae,Lobelia;≥10;≥15;;120;;;;spring;;5-8;;;3-4;2,6;7,0;1;19;15;60;350;2000;0;0;5;35;30;80;2500;60000;4000;6000
Lobelia chinensis;;China;Campanulaceae,Lobelia;≥10;≥15;;59,144;;;;spring;;5-8;;;3-4;2,6;7,0;1;19;15;60;350;2000;0;0;5;35;30;80;2500;60000;4000;6000
Lobelia erinus 'Aqua Blue';;China;Campanulaceae,Lobelia;≥10;≥15;;45;;;;spring;;5-8;;;3-4;2,6;7,0;1;19;15;60;350;2000;0;0;5;35;30;80;2500;60000;4000;6000
Lobelia erinus;;Africa;Campanulaceae,Lobelia;≥10;≥15;;61,144;;;;spring;;7-9;;;2-4;2,6;7,0;1;19;15;60;350;2000;0;0;6;35;30;80;2500;60000;4000;6000
Lobelia siphilitica;;China;Campanulaceae,Lobelia;≥10;≥15;;45;;;;spring;;5-8;;;3-4;2,6;7,0;1;19;15;60;350;2000;0;0;5;35;30;80;2500;60000;4000;6000
Lobelia × speciosa;;Africa;Campanulaceae,Lobelia;≥10;≥15;;61,144;;;;spring;;7-9;;;2-4;2,6;6,0;1;19;15;60;350;2000;0;0;6;35;30;80;2500;60000;4000;6000
Lobivia arachnacantha;;Mexico;Cactaceae,Lobivia;≥10;≥15;56;146,120;;;;spring,summer,autumn;;;;35;3-4;2,6;7,0;1;18;7;50;100;1000;0;0;8;35;15;80;3000;100000;3500;8700
Lobularia maritima;;Mediterranean coastal areas;Brassicaceae,Lobularia;≥10;≥15;;119,59,144;;;;spring,autumn;;4-7;;;2-4;2,6;7,0;129;19;20;60;200;2000;0;0;5;35;30;85;2000;60000;2300;7600
Lolium perenne;;Temperate areas;Gramineae,Lolium;≥10;15-18;;144;;;;;;5-7;5-7;;3-4;2,6;5,2;1;8;15;60;350;2000;0;0;8;32;30;80;3500;50000;3500;5000
Lonicera caerulea;;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;144,146;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lonicera caprifolium;;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;59,144;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lonicera fragrantissima;;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;144,146;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lonicera hildebrandiana;;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;59,144;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lonicera hispidula;;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;59;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lonicera japonica;;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;144,146;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lonicera maackii;;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;144,146;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lonicera nitida;;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;144,146;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lonicera periclymenum;;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;59;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lonicera pileata;;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;144,146;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lonicera sempervirens;;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;59;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lonicera similis;;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;144,146;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lonicera tatarica;;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;120;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lonicera × brownii 'Dropmore Scarlet';;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;144,146;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lonicera × heckrottii;;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;144,146;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lonicera xylosteum;;Asia;Caprifoliaceae,Lonicera;≥10;≥15;;144,146;;;;spring;;3-6;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;1500;35000;2000;4000
Lophophora williamsii;;South America;Cactaceae,Lophophora;≥5;≥3;;59,144;;;;spring,summer,autumn;;;;35;3-4;2,6;7,0;1;18;7;50;100;1000;0;0;5;35;15;80;3000;100000;3500;8700
Loropetalum chinense 'rubrum';;China;Hamamelidaceae,Loropetalum;≥10;≥15;;96;;12;;;;4-5;8;;4;2,6;6,0;1;8;15;60;350;2000;6.1;7;8;32;30;80;4000;50000;3500;5000
Ludisia discolor;;Southern China,Burma,Vietnam,Thailand,Malaysia;Orchidaceae,Ludisia;≥20;20-30;;144,140;;;;;;2-4;;38;3;,6;4,528;1;6;15;60;350;2000;0;0;5;32;30;80;1500;6000;1200;2500
Luffa cylindrica;;India;Cucurbitaceae,Luffa;≥10;;;146;;56,26;;;;summer,autumn;summer,autumn;33;3-4;,6;6,2;1;8;25;75;300;2800;6;6.5;8;35;30;80;4000;110000;4500;18000
Lunaria annua;;Worldwide;Cruciferae,Lunaria;≥10;15-18;;96,144;;;;;;4-5;;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;35;30;80;3700;30000;2500;4500
Lupinus polyphyllus;;Mediterranean region,North America;Leguminosae,Lupinus;≥10;≥15;;144,120,45,119;;;;;;3-5;4-7;;4;2,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Lupinus texensis;;Mediterranean region,North America;Leguminosae,Lupinus;≥10;≥15;;144,120,45,119;;;;;;3-5;4-7;;4;2,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Lycianthes rantonnetii;;Bolivia,Brazil;Solanaceae,Solanum;≥20;15-20;;61,45;;;;;;6-11;;;2-3;4;0,64;1;19;15;60;350;2000;0;0;10;32;30;80;3700;20000;2000;4000
Lycium barbarum;;China;Solanaceae,Lycium;≥10;≥15;;90;;120;;;;6-11;6-11;;4;2,6;6,0;1;16;15;60;350;2000;7.5;8.8;5;35;30;80;4000;60000;4000;6000
Lycium chinense;;China;Solanaceae,Lycium;≥10;≥15;;90;;120;;;;6-11;6-11;;4;2,6;6,0;1;16;15;60;350;2000;7.5;8.8;5;35;30;80;4000;60000;4000;6000
Lycopersicon esculentum;;South America;Solanaceae,Solanum;≥10;≥15;;146;;120;1-12;;;;;;4;,6;0,64;4;19;22;70;350;2500;6;7;10;35;30;70;4000;130000;5200;22000
Lycoris radiata;;Asia;Amaryllidaceae,Lycoris;≥10;≥15;;120,59,146;;;;spring,autumn;;9-10;;;2-3;2,6;6,0;1;19;15;60;350;2000;0;0;4;32;30;80;1500;22500;2500;4500
Lycoris squamigera;;Asia;Amaryllidaceae,Lycoris;≥10;≥15;;90;;;;;;8;;;3-4;3,6;6,0;1;19;15;60;350;2000;0;0;8;35;30;80;3500;30000;2500;4500
Lysimachia christinae;;China;Primulaceae,Lysimachia;≥15;≥25;;146;;;;;;5-7;7-10;;2;3,6;6,0;1;8;15;60;350;2000;0;0;8;32;30;80;1500;6000;1200;2500
Lysimachia ciliata;;Guangdong,Taiwan;Primulaceae,Lysimachia;≥10;15-18;;144;;;;;;4-5;5-6;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;38;30;80;3500;30000;2500;4500
Lysimachia clethroides;;China,Japan,Korea;Primulaceae,Lysimachia;≥10;15-18;;144;;;;;;5-7;7-10;;3-4;2,6;6,0;4;8;15;60;350;2000;0;0;5;35;30;80;3000;60000;4000;7000
Lysimachia congestiflora;;China,Burma,Bhutan,Taiwan,Vietnam;Primulaceae,Lysimachia;≥20;15-20;;146;;;;;;5-6;7-10;;2-3;4;0,64;1;19;15;60;350;2000;0;0;10;32;30;80;3700;20000;2000;4000
Lysimachia fortunei 'Super Snow';;China;Primulaceae,Lysimachia;≥10;15-18;;144;;;;;;7;9;;2-4;2,6;0,64;1;8;15;60;350;2000;0;0;8;35;30;80;3700;30000;2500;4500
Lysimachia fortunei;;China;Labiatae,Salvia;≥10;15-18;;144;;;;;;6-8;8-11;;2-3;2,6;6,0;1;8;15;60;350;2000;0;0;5;32;30;80;3700;20000;2000;4000
Lysimachia nummularia 'Aurea';;China;Primulaceae,Lysimachia;≥15;≥25;;146;;;;;;5-7;7-10;;2;3,6;6,0;1;8;15;60;350;2000;0;0;8;32;30;80;1500;6000;1200;2500
Lysimachia punctata;;Guangdong,Taiwan;Primulaceae,Lysimachia;≥10;15-18;;144;;;;;;4-5;5-6;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;38;30;80;3500;30000;2500;4500
Lysimachia spp.;;Guangdong,Taiwan;Primulaceae,Lysimachia;≥10;15-18;;144;;;;;;4-5;5-6;;3-4;2,6;6,0;1;8;15;60;350;2000;0;0;5;38;30;80;3500;30000;2500;4500
Lysimachia vulgaris;;Xingjiang;Primulaceae,Lysimachia;≥10;15-18;;146,106;;;;;;7-8;9;;2-4;2,6;6,0;1;8;15;60;350;2000;0;0;8;32;30;80;3700;30000;2500;4500
Lythrum salicaria;;Asia,Europe;Lythraceae,Lythrum;≥10;≥15;;96,90;;;;;;spring;;;4;3,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Lythrum virgatum;;Asia,Europe;Lythraceae,Lythrum;≥10;≥15;;96,90;;;;;;spring;;;4;3,6;6,0;1;8;15;60;350;2000;0;0;5;35;30;80;4000;60000;4000;6000
Maackia amurensis;;China;Leguminosae,Maackia;≥15;≥25;;144;;56;;;;6-7;9-10;;3-4;3,6;6,0;2;8;15;60;350;2000;0;0;5;35;30;80;3500;50000;3500;5000
Macadamia integrifolia;;Australia;Proteaceae,Macadamia;≥25;≥30;;6;;146;;;;4-5;7-8;;4;3,6;6,0;1;8;15;60;350;2000;6.1;7;10;35;30;80;4000;60000;4000;6000
Maclura pomifera;;Central United States;Moraceae,Maclura;≥20;20-30;;147;;;;;;6;;;4;4;0,64;1;19;15;60;350;2000;0;0;5;35;30;80;3700;50000;3500;5000
